Sample:	'C6 1uL_20C(EM)	
File name:	acetonitrile.FDS	
Run date:	'17:05:10, 12/09/2023	
Operator:	IISER	
Comment:	'	
		
Instrument		
Model:	F-7000 FL Spectrophotometer	
Serial number:	3037-001	
ROM Version:	5J14000 12	
Accessory:	Polarization unit	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	427.0 nm	
EM  Start WL:	440.0 nm	
EM  End WL:	700.0 nm	
Scan speed:	240 nm/min	
Delay:	1.0 s	
EX Slit:	5.0 nm	
EM Slit:	5.0 nm	
PMT Voltage:	700 V	
Response:	2.0 s	
Corrected spectra:	Off	
Shutter control:	On	
EX Polarizer:	0 deg.	
582.4	0.751	
582.6	0.755	
582.8	0.761	
583.0	0.765	
583.2	0.779	
583.4	0.796	
583.6	0.808	
583.8	0.809	
584.0	0.801	
584.2	0.790	
584.4	0.783	
584.6	0.779	
584.8	0.776	
585.0	0.764	
585.2	0.754	
585.4	0.746	
585.6	0.745	
585.8	0.745	
586.0	0.747	
586.2	0.738	
586.4	0.733	
586.6	0.730	
586.8	0.726	
587.0	0.716	
587.2	0.705	
587.4	0.699	
587.6	0.703	
587.8	0.707	
588.0	0.707	
588.2	0.700	
588.4	0.685	
588.6	0.665	
588.8	0.645	
589.0	0.627	
589.2	0.615	
589.4	0.613	
589.6	0.622	
589.8	0.626	
590.0	0.631	
590.2	0.630	
590.4	0.616	
590.6	0.602	
590.8	0.596	
591.0	0.601	
591.2	0.613	
591.4	0.619	
591.6	0.619	
591.8	0.612	
592.0	0.604	
592.2	0.602	
592.4	0.598	
592.6	0.592	
592.8	0.588	
593.0	0.583	
593.2	0.575	
593.4	0.581	
593.6	0.585	
593.8	0.585	
594.0	0.578	
594.2	0.563	
594.4	0.549	
594.6	0.543	
594.8	0.538	
595.0	0.543	
595.2	0.547	
595.4	0.543	
595.6	0.538	
595.8	0.525	
596.0	0.517	
596.2	0.512	
596.4	0.506	
596.6	0.502	
596.8	0.506	
597.0	0.513	
597.2	0.526	
597.4	0.525	
597.6	0.515	
597.8	0.513	
598.0	0.516	
598.2	0.519	
598.4	0.519	
598.6	0.512	
598.8	0.500	
599.0	0.499	
599.2	0.495	
599.4	0.497	
599.6	0.500	
599.8	0.503	
600.0	0.503	
600.2	0.501	
600.4	0.491	
600.6	0.480	
600.8	0.469	
601.0	0.464	
601.2	0.458	
601.4	0.449	
601.6	0.442	
601.8	0.432	
602.0	0.426	
602.2	0.427	
602.4	0.422	
602.6	0.411	
602.8	0.406	
603.0	0.404	
603.2	0.409	
603.4	0.410	
603.6	0.405	
603.8	0.397	
604.0	0.395	
604.2	0.396	
604.4	0.395	
604.6	0.386	
604.8	0.386	
605.0	0.395	
605.2	0.411	
605.4	0.430	
605.6	0.440	
605.8	0.438	
606.0	0.436	
606.2	0.428	
606.4	0.423	
606.6	0.422	
606.8	0.431	
607.0	0.446	
607.2	0.463	
607.4	0.473	
607.6	0.477	
607.8	0.468	
608.0	0.458	
608.2	0.446	
608.4	0.435	
608.6	0.428	
608.8	0.429	
609.0	0.431	
609.2	0.432	
609.4	0.434	
609.6	0.430	
609.8	0.417	
610.0	0.408	
610.2	0.401	
610.4	0.395	
610.6	0.393	
610.8	0.390	
611.0	0.386	
611.2	0.383	
611.4	0.382	
611.6	0.382	
611.8	0.382	
612.0	0.391	
